sample	condition	tissue	timepoint
M88	treated	cambium	day0
M88	treated	cambium	day0
M89	treated	cambium	day0
M89	treated	cambium	day0
M8	treated	cambium	day0
M8	treated	cambium	day0
M90	treated	cambium	day0
M90	treated	cambium	day0
M91	treated	cambium	day0
M91	treated	cambium	day0
M93	treated	cambium	day0
M93	treated	cambium	day0
M94	treated	cambium	day0
M94	treated	cambium	day0
M95	treated	cambium	day0
M95	treated	cambium	day0
M9	treated	cambium	day0
M9	treated	cambium	day0
